NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 3.8,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Queima/Alteração de cor,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 3.9,Barra D’Anta,A3,Superfície,I,Indeterminado,Basalto,Detrito,Inexistente,Queima/Alteração de cor,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 3.10,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Helicoidal,,,,,,,
Ant 3.11,Barra D’Anta,A3,Superfície,I,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,,,,,,,,,,,,,,,
Ant 3.12,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de formatação,Indeterminado,Indeterminado,Indeterminado,Indeterminado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 3.13,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Retilíneo,,,,,,,
Ant 3.14,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Com preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 3,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4.1,Barra D’Anta,A4,Superfície,I,Lascamento bipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,3 a 4 cm,2 a 3 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 4.2,Barra D’Anta,A4,Superfície,I,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,3 a 4 cm,3 a 4 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 4.3,Barra D’Anta,A4,Superfície,I,Indeterminado,Basalto,Lasca,Inexistente,Queima/Alteração de cor,2 a 3 cm,4 a 5 cm,1 a 2 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 4.4,Barra D’Anta,A4,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 4.5,Barra D’Anta,A4,Superfície,I,Indeterminado,Quartzito,Lasca,Seixo,Sem alteração,2 a 3 cm,3 a 4 cm,1 a 2 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Curvo,,,,,,,
Ant 4.6,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Queima/Alteração de cor,3 a 4 cm,3 a 4 cm,0 a 1 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 4.7,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,3 a 4 cm,1 a 2 cm,Lasca cortical,Liso,Sem preparação,Sem formação de lábio,Pronunciado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 4.8,Barra D’Anta,A4,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,,,,,,,,,,,,,,,
Ant 4.9,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,3 a 4 cm,0 a 1 cm,Lasca de formatação,Linear,Sem preparação,Sem formação de lábio,Difuso,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 4.10,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Liso,Sem preparação,Sem formação de lábio,Difuso,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 4.11,Barra D’Anta,A4,Superfície,I,Indeterminado,Silexito,Lasca,Seixo,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 4.12,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Com formação de lábio,Difuso,3,Ortogonal,Retilíneo,,,,,,,
Ant 4.13,Barra D’Anta,A4,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,,,,,,,,,,,,,,,
Ant 4.14,Barra D’Anta,A4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca de formatação,Linear,Sem preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Retilíneo,,,,,,,
Ant 4.15,Barra D’Anta,A4,Superfície,I,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,5 a 6 cm,3 a 4 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 4.16,Barra D’Anta,A4,Superfície,I,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 4,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5.1,Barra D’Anta,B1,Superfície,I,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,3 a 4 cm,3 a 4 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 5.2,Barra D’Anta,B1,Superfície,I,Sem transformação,Quartzito,Natural,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 5.3,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,3 a 4 cm,1 a 2 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Difuso,2,Ortogonal,Retilíneo,,,,,,,
Ant 5.4,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lâmina,Seixo,Sem alteração,3 a 4 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Liso,Com preparação,Sem formação de lábio,Pronunciado,2,Paralela,Helicoidal,,,,,,,
Ant 5.5,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Diedro,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 5.6,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Pronunciado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 5.7,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de formatação,Linear,Sem preparação,Sem formação de lábio,Difuso,3,Ortogonal,Retilíneo,,,,,,,
Ant 5.8,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 5.9,Barra D’Anta,B1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 5.10,Barra D’Anta,B1,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 5.11,Barra D’Anta,B1,Superfície,I,Sem transformação,Basalto,Natural,Indeterminado,Queima/Alteração de cor,11 a 12 cm,11 a 12 cm,4 a 5 cm,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
