NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Indeterminado,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 5,Barra D’Anta,-,Superfície,-,Sem transformação,Indeterminado,Natural,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6.1,Barra D’Anta,B2,Superfície,I,Sem transformação,Quartzito,Natural,Seixo,Sem alteração,6 a 7 cm,5 a 6 cm,3 a 4 cm,,,,,,,,,,,,,,,
Ant 6.2,Barra D’Anta,B2,Superfície,I,Indeterminado,Basalto,Detrito,Indeterminado,Sem alteração,4 a 5 cm,3 a 4 cm,3 a 4 cm,,,,,,,,,,,,,,,
Ant 6.3,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,3 a 4 cm,3 a 4 cm,0 a 1 cm,Lasca de debitagem,Diedro,Indeterminado,Com formação de lábio,Pronunciado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 6.4,Barra D’Anta,B2,Superfície,I,Sem transformação,Quartzito,Natural,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 6.5,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 6.6,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Indeterminado,Queima/Alteração de cor,3 a 4 cm,3 a 4 cm,0 a 1 cm,Indeterminado,Liso,Sem preparação,Sem formação de lábio,Difuso,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 6.7,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Helicoidal,,,,,,,
Ant 6.8,Barra D’Anta,B2,Superfície,I,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 6.9,Barra D’Anta,B2,Superfície,I,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 6.10,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 6.11,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 6.12,Barra D’Anta,B2,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Pátina,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 6.13,Barra D’Anta,B2,Superfície,I,Indeterminado,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 6.14,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,3 a 4 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Retilíneo,,,,,,,
Ant 6.15,Barra D’Anta,B2,Superfície,I,Lascamento Unipolar,Quartzo leitoso,Lasca,Seixo,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Cortical,Sem preparação,Sem formação de lábio,Indeterminado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Sem transformação,Indeterminado,Natural,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Sem transformação,Indeterminado,Natural,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 6,Barra D’Anta,-,Superfície,-,Sem transformação,Indeterminado,Natural,Seixo,Queima/Alteração de cor,,,,,,,,,,,,,,,,,,
Ant 7.1,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Indeterminado,Núcleo,Seixo,Sem alteração,5 a 6 cm,5 a 6 cm,3 a 4 cm,,,,,,,,,Núcleo unipolar com planos de percussão em diferentes posições,Cortical,Sem preparação,,,,
Ant 7.2,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Liso,Sem preparação,Com formação de lábio,Pronunciado,1,Uma cicatriz apenas,Helicoidal,,,,,,,
Ant 7.3,Barra D’Anta,B3,Superfície,I,Indeterminado,Basalto,Detrito,Indeterminado,Queima/Alteração de cor,4 a 5 cm,3 a 4 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 7.4,Barra D’Anta,B3,Superfície,I,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 7.5,Barra D’Anta,B3,Superfície,I,Indeterminado,Basalto,Detrito,Indeterminado,Sem alteração,2 a 3 cm,2 a 3 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 7.6,Barra D’Anta,B3,Superfície,I,Lascamento bipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 7.7,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,3 a 4 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Linear,Sem preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Helicoidal,,,,,,,
Ant 7.8,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Com preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Retilíneo,,,,,,,
Ant 7.9,Barra D’Anta,B3,Superfície,I,Sem transformação,Indeterminado,Natural,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,,,,,,,,,,,,,,,
Ant 7.10,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 7.11,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,9 a 10 cm,7 a 8 cm,2 a 3 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,3,Ortogonal,Retilíneo,,,,,,,
Ant 7.12,Barra D’Anta,B3,Superfície,I,Indeterminado,Quartzito,Detrito,Inexistente,Sem alteração,4 a 5 cm,4 a 5 cm,3 a 4 cm,,,,,,,,,,,,,,,
Ant 7.13,Barra D’Anta,B3,Superfície,I,Lascamento Unipolar,Quartzito,Lasca,Inexistente,Sem alteração,4 a 5 cm,4 a 5 cm,1 a 2 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Quartzo leitoso,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Pátina,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Pátina,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Pátina,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Sem transformação,Silexito,Natural,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 7,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Indeterminado,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 8.1,Barra D’Anta,B4,Superfície,I,Lascamento bipolar,Silexito,Lasca,Seixo,Sem alteração,6 a 7 cm,4 a 5 cm,2 a 3 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 8.2,Barra D’Anta,B4,Superfície,I,Sem transformação,Indeterminado,Natural,Seixo,Sem alteração,6 a 7 cm,5 a 6 cm,3 a 4 cm,,,,,,,,,,,,,,,
Ant 8.3,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Liso,Sem preparação,Sem formação de lábio,Difuso,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 8.4,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Indeterminado,3 a 4 cm,3 a 4 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 8.5,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Liso,Sem preparação,Sem formação de lábio,Pronunciado,2,Ortogonal,Retilíneo,,,,,,,
Ant 8.6,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Indeterminado,Queima/Alteração de cor,3 a 4 cm,4 a 5 cm,1 a 2 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,2,Ortogonal,Retilíneo,,,,,,,
Ant 8.7,Barra D’Anta,B4,Superfície,I,Sem transformação,Silexito,Natural,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 8.8,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,3,Ortogonal,Retilíneo,,,,,,,
Ant 8.9,Barra D’Anta,B4,Superfície,I,Sem transformação,Indeterminado,Natural,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 8.10,Barra D’Anta,B4,Superfície,I,Sem transformação,Indeterminado,Natural,Seixo,Pátina,2 a 3 cm,2 a 3 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 8.11,Barra D’Anta,B4,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 8.12,Barra D’Anta,B4,Superfície,I,Sem transformação,Basalto,Natural,Seixo,Sem alteração,9 a 10 cm,10 a 11 cm,4 a 5 cm,,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 8,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
